Species ID,Park Name,Category,Order,Family,Scientific Name,Common Names,Record Status,Occurrence,Nativeness,Abundance,Seasonality,Conservation Status
CHIS-1120,Channel Islands National Park,Bird,Charadriiformes,Laridae,Larus hyperboreus,Glaucous Gull,Approved,Present,Native,Occasional,Vagrant,
CHIS-1121,Channel Islands National Park,Bird,Charadriiformes,Laridae,Larus occidentalis,Western Gull,Approved,Present,Native,Abundant,Breeder,
CHIS-1122,Channel Islands National Park,Bird,Charadriiformes,Laridae,Larus philadelphia,Bonaparte's Gull,Approved,Present,Native,Uncommon,Migratory,
CHIS-1123,Channel Islands National Park,Bird,Charadriiformes,Laridae,Larus pipixcan,Franklin's Gull,Approved,Present,Native,Occasional,Vagrant,
CHIS-1124,Channel Islands National Park,Bird,Charadriiformes,Laridae,Larus thayeri,Thayer's Gull,Approved,Present,Native,Occasional,Vagrant,
CHIS-1125,Channel Islands National Park,Bird,Charadriiformes,Laridae,Rissa tridactyla,Black-Legged Kittiwake,Approved,Present,Native,Uncommon,Migratory,
CHIS-1126,Channel Islands National Park,Bird,Charadriiformes,Laridae,Sterna caspia,Caspian Tern,Approved,Present,Native,Occasional,Vagrant,
CHIS-1127,Channel Islands National Park,Bird,Charadriiformes,Laridae,Sterna elegans,Elegant Tern,Approved,Present,Native,Occasional,Vagrant,Species of Concern
CHIS-1128,Channel Islands National Park,Bird,Charadriiformes,Laridae,Sterna forsteri,Forster's Tern,Approved,Present,Native,Rare,Vagrant,
CHIS-1129,Channel Islands National Park,Bird,Charadriiformes,Laridae,Sterna maxima,Royal Tern,Approved,Present,Native,Common,Migratory,
CHIS-1130,Channel Islands National Park,Bird,Charadriiformes,Laridae,Sterna paradisaea,Arctic Tern,Approved,Present,Native,Occasional,Vagrant,
CHIS-1131,Channel Islands National Park,Bird,Charadriiformes,Laridae,Xema sabini,Sabine's Gull,Approved,Present,Native,Occasional,Vagrant,
CHIS-1132,Channel Islands National Park,Bird,Charadriiformes,Recurvirostridae,Himantopus mexicanus,Black-Necked Stilt,Approved,Present,Native,Occasional,Vagrant,
CHIS-1133,Channel Islands National Park,Bird,Charadriiformes,Recurvirostridae,Recurvirostra americana,American Avocet,Approved,Present,Native,Occasional,Vagrant,
CHIS-1134,Channel Islands National Park,Bird,Charadriiformes,Scolopacidae,Actitis macularia,Spotted Sandpiper,Approved,Present,Native,Uncommon,Migratory,
CHIS-1135,Channel Islands National Park,Bird,Charadriiformes,Scolopacidae,Aphriza virgata,Surfbird,Approved,Present,Native,Rare,Vagrant,
CHIS-1136,Channel Islands National Park,Bird,Charadriiformes,Scolopacidae,Arenaria interpres,Ruddy Turnstone,Approved,Present,Native,Common,Vagrant,
CHIS-1137,Channel Islands National Park,Bird,Charadriiformes,Scolopacidae,Arenaria melanocephala,Black Turnstone,Approved,Present,Native,Abundant,Migratory,
CHIS-1138,Channel Islands National Park,Bird,Charadriiformes,Scolopacidae,Bartramia longicauda,Upland Sandpiper,Approved,Present,Native,Occasional,Vagrant,Species of Concern
CHIS-1139,Channel Islands National Park,Bird,Charadriiformes,Scolopacidae,Calidris alba,Sanderling,Approved,Present,Native,Abundant,Migratory,
CHIS-1140,Channel Islands National Park,Bird,Charadriiformes,Scolopacidae,Calidris alpina,Dunlin,Approved,Present,Native,Uncommon,Migratory,
CHIS-1141,Channel Islands National Park,Bird,Charadriiformes,Scolopacidae,Calidris bairdii,Baird's Sandpiper,Approved,Present,Native,Occasional,Vagrant,
CHIS-1142,Channel Islands National Park,Bird,Charadriiformes,Scolopacidae,Calidris canutus,Red Knot,Approved,Present,Native,Occasional,Vagrant,
CHIS-1143,Channel Islands National Park,Bird,Charadriiformes,Scolopacidae,Calidris mauri,Western Sandpiper,Approved,Present,Native,Uncommon,Vagrant,
CHIS-1144,Channel Islands National Park,Bird,Charadriiformes,Scolopacidae,Calidris melanotos,Pectoral Sandpiper,Approved,Present,Native,Rare,Vagrant,
CHIS-1145,Channel Islands National Park,Bird,Charadriiformes,Scolopacidae,Calidris minutilla,Least Sandpiper,Approved,Present,Native,Common,,
CHIS-1146,Channel Islands National Park,Bird,Charadriiformes,Scolopacidae,Catoptrophorus semipalmatus,Willet,Approved,Present,Native,Abundant,Migratory,
CHIS-1147,Channel Islands National Park,Bird,Charadriiformes,Scolopacidae,Gallinago gallinago,Common Snipe,Approved,Present,Native,Uncommon,Vagrant,
CHIS-1148,Channel Islands National Park,Bird,Charadriiformes,Scolopacidae,Heteroscelus incanus,Wandering Tattler,Approved,Present,Native,Common,Migratory,
CHIS-1149,Channel Islands National Park,Bird,Charadriiformes,Scolopacidae,Limnodromus griseus,Short-Billed Dowitcher,Approved,Present,Native,Occasional,Vagrant,
CHIS-1150,Channel Islands National Park,Bird,Charadriiformes,Scolopacidae,Limnodromus scolopaceus,Long-Billed Dowitcher,Approved,Present,Native,Rare,Vagrant,
CHIS-1151,Channel Islands National Park,Bird,Charadriiformes,Scolopacidae,Limosa fedoa,Marbled Godwit,Approved,Present,Native,Abundant,Migratory,Species of Concern
